Date : 2024-10-18 02:02:24
Directory : d:\fitnesX\fitnesx_flutter
Total : 67 files,  2659 codes, 177 comments, 235 blanks, all 3071 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         39 |      2,116 |         66 |        163 |      2,345 |
| JSON       |          5 |        235 |          0 |          3 |        238 |
| XML        |         10 |        140 |         53 |         10 |        203 |
| Gradle     |          3 |         72 |         10 |         15 |         97 |
| YAML       |          2 |         36 |         31 |         21 |         88 |
| Swift      |          2 |         19 |          2 |          6 |         27 |
| HTML       |          1 |         19 |         15 |          5 |         39 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Properties |          2 |          8 |          0 |          2 |         10 |
| C++        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                     |         67 |      2,659 |        177 |        235 |      3,071 |
| . (Files)                                                                                                             |          4 |         47 |         31 |         28 |        106 |
| android                                                                                                               |         14 |        213 |         61 |         25 |        299 |
| android (Files)                                                                                                       |          3 |         41 |          2 |          9 |         52 |
| android\app                                                                                                           |         10 |        167 |         59 |         15 |        241 |
| android\app (Files)                                                                                                   |          2 |         88 |          8 |          7 |        103 |
| android\app\src                                                                                                       |          8 |         79 |         51 |          8 |        138 |
| android\app\src\debug                                                                                                 |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                                                  |          6 |         73 |         43 |          6 |        122 |
| android\app\src\main (Files)                                                                                          |          1 |         41 |         11 |          0 |         52 |
| android\app\src\main\res                                                                                              |          5 |         32 |         32 |          6 |         70 |
| android\app\src\main\res\drawable                                                                                     |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                                 |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                       |          2 |         15 |          9 |          1 |         25 |
| android\app\src\main\res\values-night                                                                                 |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                               |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                                                        |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                                |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                                                   |          8 |        229 |          4 |         13 |        246 |
| ios\Runner                                                                                                            |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                                                    |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                                                       |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                                            |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                         |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                       |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                 |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                   |         38 |      2,102 |         56 |        156 |      2,314 |
| lib (Files)                                                                                                           |          3 |        119 |         27 |         14 |        160 |
| lib\core                                                                                                              |          6 |        114 |          3 |         36 |        153 |
| lib\core\bloc                                                                                                         |          6 |        114 |          3 |         36 |        153 |
| lib\core\bloc\auth                                                                                                    |          3 |         74 |          3 |         12 |         89 |
| lib\core\bloc\register_container                                                                                      |          3 |         40 |          0 |         24 |         64 |
| lib\feature                                                                                                           |         29 |      1,869 |         26 |        106 |      2,001 |
| lib\feature\screen                                                                                                    |         20 |      1,503 |          2 |         71 |      1,576 |
| lib\feature\screen\login                                                                                              |          1 |         12 |          0 |          2 |         14 |
| lib\feature\screen\onboarding                                                                                         |          4 |        324 |          0 |         17 |        341 |
| lib\feature\screen\register                                                                                           |         13 |        947 |          2 |         42 |        991 |
| lib\feature\screen\register\account_create_page                                                                       |          2 |        277 |          2 |          8 |        287 |
| lib\feature\screen\register\account_create_page (Files)                                                               |          1 |        242 |          2 |          6 |        250 |
