"filename", "language", "Markdown", "Dart", "YAML", "JSON", "Gradle", "Properties", "XML", "C++", "HTML", "Swift", "comment", "blank", "total"
"d:\fitnesX\fitnesx_flutter\README.md", "Markdown", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"d:\fitnesX\fitnesx_flutter\analysis_options.yaml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"d:\fitnesX\fitnesx_flutter\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 8, 7, 49
"d:\fitnesX\fitnesx_flutter\android\app\google-services.json", "JSON", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 54
"d:\fitnesX\fitnesx_flutter\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 1, 8
"d:\fitnesX\fitnesx_flutter\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 11, 0, 52
"d:\fitnesX\fitnesx_flutter\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"d:\fitnesX\fitnesx_flutter\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"d:\fitnesX\fitnesx_flutter\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"d:\fitnesX\fitnesx_flutter\android\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"d:\fitnesX\fitnesx_flutter\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 0, 18
"d:\fitnesX\fitnesx_flutter\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 1, 8
